director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
John McPhail,Ella Hunt,Malcolm Cumming,Marli Siu,Horror Comedy Fantasy,anna and the apocalypse
Nadine Labaki,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Drama,capernaum
Josie Rourke,Saoirse Ronan,Margot Robbie,Jack Lowden,Drama History,mary queen of scots
Peter Hedges,Lucas Hedges,Julia Roberts,Kathryn Newton,Drama,ben is back
"Bob Persichetti, Peter Ramsey, Rodney Rothman",Shameik Moore,Jake Johnson,Hailee Steinfeld,Action Adventure Animation Science Fiction Comedy,spider-man: into the spider-verse
Christian Rivers,Hugo Weaving,Hera Hilmar,Robert Sheehan,Adventure Science Fiction,mortal engines
Clint Eastwood,Clint Eastwood,Bradley Cooper,Laurence Fishburne,Crime Drama Thriller,the mule
Barry Jenkins,Kiki Layne,Stephan James,Teyonah Parris,Romance Drama,if beale street could talk
Rob Marshall,Emily Blunt,Lin-Manuel Miranda,Ben Whishaw,Fantasy Family Comedy,mary poppins returns
James Wan,Jason Momoa,Amber Heard,Willem Dafoe,Action Adventure Fantasy,aquaman
Travis Knight,Hailee Steinfeld,John Cena,Jorge Lendeborg Jr.,Action Adventure Science Fiction,bumblebee
Robert Zemeckis,Steve Carell,Leslie Mann,Diane Kruger,Drama Comedy Fantasy,welcome to marwen
Peter Segal,Jennifer Lopez,Leah Remini,Vanessa Hudgens,Romance Comedy,second act
Paweł Pawlikowski,Joanna Kulig,Tomasz Kot,Agata Kulesza,Animation,cold war
Etan Cohen,Will Ferrell,John C. Reilly,Rebecca Hall,Mystery Adventure Comedy Crime,holmes & watson
Adam McKay,Christian Bale,Amy Adams,Steve Carell,Thriller Science Fiction Action Adventure,vice
Mimi Leder,Felicity Jones,Armie Hammer,Justin Theroux,Drama History,on the basis of sex
Karyn Kusama,Nicole Kidman,Sebastian Stan,Toby Kebbell,Thriller Crime Drama Action,destroyer
David Slade,Fionn Whitehead,Will Poulter,Asim Chaudhry,Science Fiction Mystery Drama Thriller TV Movie,black mirror: bandersnatch
Adam Robitel,Taylor Russell,Logan Miller,Deborah Ann Woll,Thriller Action Mystery Adventure Horror,escape room
Jen McGowan,Hermione Corfield,Jay Paulson,Sean O'Bryan,Thriller Drama,rust creek
Wilson Coneybeare,Donald Sutherland,Vincent Kartheiser,Oliver Dennis,Thriller,american hangman
Charles Martin Smith,Bryce Dallas Howard,Edward James Olmos,Alexandra Shipp,Drama Adventure Family,a dog's way home
Neil Burger,Bryan Cranston,Kevin Hart,Nicole Kidman,Comedy Drama,the upside
Jeffrey Nachmanoff,Keanu Reeves,unknown,unknown,Science Fiction Thriller,replicas
Batán Silva,Natalia Dyer,Kyra Sedgwick,Tim Daly,Drama Family Thriller Science Fiction,after darkness
M. Night Shyamalan,James McAvoy,Bruce Willis,Samuel L. Jackson,Thriller Drama Science Fiction,glass
Vicky Jewson,Noomi Rapace,Sophie Nélisse,Indira Varma,Action Thriller,close
Henry Dunham,James Badge Dale,Brian Geraghty,unknown,Drama Thriller Mystery,the standoff at sparrow creek
Timothy Woodward Jr.,Lin Shaye,Michael Welch,Melissa Bolona,Horror,the final wish
Joe Cornish,Louis Ashbourne Serkis,Dean Chaumoo,Tom Taylor,Action Adventure Fantasy Family,the kid who would be king
Steven Knight,Matthew McConaughey,Anne Hathaway,Jason Clarke,Thriller Mystery Drama,serenity
Grant Sputore,Grant Sputore (director),Michael Lloyd Green (screenplay/story),Clara Rugaard,Science Fiction Thriller,i am mother
Andrew Patterson,Andrew Patterson (director),James Montague,Craig W. Sanger (writers); Sierra McCormick,Mystery Science Fiction Thriller,the vast of night
Catherine Hardwicke,Gina Rodriguez,Ismael Cruz Córdova,Anthony Mackie,Action,miss bala
Dan Gilroy,Jake Gyllenhaal,Rene Russo,Toni Collette,Thriller Mystery Horror,velvet buzzsaw
Nicolas Pesce,Christopher Abbott,Mia Wasikowska,Laia Costa,Thriller Horror Mystery,piercing
Mike Mitchell,Chris Pratt,Elizabeth Banks,Tiffany Haddish,Action Adventure Animation Comedy Family,the lego movie 2: the second part
Adam Shankman,Taraji P. Henson,Tracy Morgan,Max Greenfield,Comedy Romance,what men want
Hans Petter Moland,Liam Neeson,Tom Bateman,Tom Jackson,Action Crime Thriller,cold pursuit
Steven Soderbergh,André Holland,Zazie Beetz,Melvin Gregg,Drama,high flying bird
Nicholas McCarthy,Taylor Schilling,Peter Mooney,Colm Feore,Horror Thriller,the prodigy
Todd Strauss-Schulson,Rebel Wilson,Liam Hemsworth,Adam DeVine,Comedy Fantasy Romance,isn't it romantic
Christopher Landon,Jessica Rothe,Israel Broussard,Phi Vu,Comedy Horror Science Fiction,happy death day 2u
Robert Rodriguez,Rosa Salazar,Christoph Waltz,Jennifer Connelly,Action Science Fiction Adventure,alita: battle angel
Dean DeBlois,Jay Baruchel,America Ferrera,Cate Blanchett,Animation Family Adventure,how to train your dragon: the hidden world
Stephen Merchant,Florence Pugh,Lena Headey,Nick Frost,Comedy,fighting with my family
Tyler Perry,Tyler Perry,Courtney Burrell,Patrice Lovely,Comedy,tyler perry's a madea family funeral
Neil Jordan,Isabelle Huppert,Chloë Grace Moretz,Maika Monroe,Drama Mystery Thriller Horror,greta
J. C. Chandor,Ben Affleck,Oscar Isaac,Charlie Hunnam,Action Thriller Crime Adventure,triple frontier
"Anna Boden, Ryan Fleck (directors/screenplay); Geneva Robertson-Dworet (screenplay); Brie Larson, Samuel L. Jackson, Ben Mendelsohn, Djimon Hounsou, Lee Pace, Lashana Lynch, Gemma Chan, Annette Bening, Clark Gregg, Jude Law",Brie Larson,Samuel L. Jackson,Ben Mendelsohn,Action Adventure Science Fiction,captain marvel
Vincent D'Onofrio,Ethan Hawke,Dane DeHaan,Jake Schur,Comedy Drama,the kid
"Josh Appelbaum, Andre Nemec (screenplay); Brianna Denski, Ken Hudson Campbell, Matthew Broderick, Jennifer Garner, Kenan Thompson, Ken Jeong, Mila Kunis, John Oliver",Brianna Denski,Ken Hudson Campbell,Matthew Broderick,Comedy Animation Adventure Family Fantasy,wonder park
Rupert Wyatt,John Goodman,Ashton Sanders,Jonathan Majors,Science Fiction,captive state
Katt Shea,Sophia Lillis,Zoe Renee,Mackenzie Graham,Crime Family Comedy Mystery,nancy drew and the hidden staircase
James Kent,Alexander Skarsgård,Keira Knightley,Jason Clarke,War Drama Romance,the aftermath
Justin Baldoni,Cole Sprouse,Haley Lu Richardson,unknown,Romance Drama,five feet apart
John Lee Hancock,Kevin Costner,Woody Harrelson,Kathy Bates,Crime Drama Thriller,the highwaymen
Robert Rodriguez,Roby Attal,Lauren Hatfield,Alejandro Rose Garcia,Thriller Science Fiction,red 11
Ivan Kavanagh,Emile Hirsch,Tim Ahern,Déborah François,Western,never grow old
Jesse V. Johnson,Tony Jaa,Iko Uwais,Tiger Chen,Thriller Action,triple threat
Jordan Peele,Lupita Nyong'o,Winston Duke,Shahadi Wright Joseph,Thriller Horror Mystery,us
Anthony Maras,Dev Patel,Armie Hammer,Nazanin Boniadi,Thriller History Drama Action,hotel mumbai
Jeff Tremaine,Douglas Booth,Iwan Rheon,Machine Gun Kelly,Drama Music History,the dirt
S. Craig Zahler,Mel Gibson,Vince Vaughn,Michael Jai White,Crime Action Thriller,dragged across concrete
Tim Burton,Colin Farrell,Michael Keaton,Danny DeVito,Animation Family,dumbo
Harmony Korine,Matthew McConaughey,Zac Efron,Jonah Hill,Comedy,the beach bum
"Chuck Konzelman, Cary Soloman",Ashley Bratcher,Brooks Ryan,Robia Scott,Drama,unplanned
David F. Sandberg,Zachary Levi,Asher Angel,Mark Strong,Action Comedy Fantasy,shazam!
"Kevin Kolsch, Dennis Widmyer",Jason Clarke,Amy Seimetz,John Lithgow,Horror,pet sematary
Robin Bissell,Taraji P. Henson,Sam Rockwell,unknown,Drama History,the best of enemies
Claire Denis,Robert Pattinson,Juliette Binoche,André Benjamin,Science Fiction Drama Mystery Thriller,high life
Brie Larson,Brie Larson,Samuel L. Jackson,Joan Cusack,Fantasy Drama Comedy,unicorn store
Daniel Farrands,Hilary Duff,Jonathan Bennett,Lydia Hearst,Horror Thriller,the haunting of sharon tate
Emma Tammi,Caitlin Gerard,Ashley Zukerman,Julia Goldani Telles,Western Horror Thriller,the wind
John R. Leonetti,Kiernan Shipka,Stanley Tucci,Miranda Otto,Horror Drama Thriller Fantasy,the silence
Neil Marshall,David Harbour,Milla Jovovich,Ian McShane,Fantasy Action Adventure Science Fiction,hellboy
Tina Gordon,Issa Rae,Regina Hall,Marsai Martin,Thriller Crime,little
Chris Butler,Hugh Jackman,Zach Galifianakis,Zoe Saldana,Family Animation Comedy Adventure Fantasy,missing link
Jenny Gage,Josephine Langford,Hero Fiennes Tiffin,Selma Blair,Romance Drama Comedy,after
Alex Ross Perry,Elisabeth Moss,Cara Delevingne,Dan Stevens,Drama Music,her smell
Roxann Dawson,Chrissy Metz,Josh Lucas,Topher Grace,Drama,breakthrough
Alastair Fothergill,Alastair Fothergill (director),Jeff Wilson (co-director); Ed Helms,unknown,Family Animation Adventure Comedy,penguins
Michael Chaves,Linda Cardellini,Raymond Cruz,Patricia Velasquez,Horror Thriller Mystery,the curse of la llorona
David Robert Mitchell,Andrew Garfield,Riley Keough,Topher Grace,Crime Drama Mystery,under the silver lake
Laura Steinel,Taylor Schilling,Brian Tyree Henry,Bryn Vale,Animation Action,family
Julia Hart,Gugu Mbatha-Raw,Lorraine Toussaint,Saniyya Sidney,Thriller Drama Science Fiction,fast color
Jennifer Kaytin Robinson,Gina Rodriguez,Brittany Snow,DeWanda Wise,Comedy Romance,someone great
Meir Zarchi,Camille Keaton,Maria Olsen,Meir Zarchi,Horror Thriller,i spit on your grave: deja vu
Anthony and Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Adventure Science Fiction Action,avengers: endgame
Josh Lobo,A. J. Bowen,Scott Poythress,Susan Burke,Horror,i trapped the devil
Roxanne Benjamin,Karina Fontes,Casey Adams,Emily Althaus,Thriller,body at brighton rock
Tanya Wexler,Zoey Deutch,Jermaine Fowler,Judy Greer,Comedy Drama Romance,buffaloed
Jonathan Levine,Seth Rogen,Charlize Theron,O'Shea Jackson Jr.,Comedy Romance,long shot
Deon Taylor,Dennis Quaid,Michael Ealy,Meagan Good,Thriller,the intruder
Kelly Asbury,Kelly Clarkson,Pitbull,Nick Jonas,Family Animation Comedy Adventure Fantasy Music,uglydolls
Joe Berlinger,Zac Efron,Lily Collins,Kaya Scodelario,Thriller Crime Drama,"extremely wicked, shockingly evil and vile"
William Bindley,KJ Apa,Maia Mitchell,Jacob Latimore,Romance Comedy,the last summer
Rob Letterman,Ryan Reynolds,Justice Smith,Kathryn Newton,Action Adventure Fantasy,pokémon detective pikachu
Chris Addison,Anne Hathaway,Rebel Wilson,Alex Sharp,Comedy,the hustle
Dome Karukoski,Nicholas Hoult,Lily Collins,Colm Meaney,War Drama History Romance,tolkien
Zara Hayes,Diane Keaton,Jacki Weaver,Pam Grier,Comedy Drama,poms
"P.B. Shemran (director, screenplay); Todd Komarnicki (screenplay); Mel Gibson, Sean Penn, Natalie Dormer, Eddie Marsan, Jennifer Ehle, David O'Hara, Ioan Gruffudd, Stephen Dillane, Steve Coogan",Mel Gibson,Sean Penn,Natalie Dormer,Drama History Mystery Thriller,the professor and the madman
Chad Stahelski,Keanu Reeves,Halle Berry,Laurence Fishburne,Action Thriller Crime,john wick: chapter 3 – parabellum
Gail Mancuso,Dennis Quaid,Josh Gad,Marg Helgenberger,Family Adventure Drama,a dog's journey
Ry Russo-Young,Yara Shahidi,Charles Melton,John Leguizamo,Romance Drama,the sun is also a star
Wayne Roberts,Johnny Depp,Rosemarie DeWitt,Danny Huston,Drama History Mystery Thriller,the professor
Joanna Hogg,Honor Swinton Byrne,Tom Burke,Tilda Swinton,Romance Drama,the souvenir
"Noble Jones (director, screenplay); John Lithgow, Blythe Danner, Derek Cecil, Katie Aselton, Sophie Thatcher, Eve Harlow",John Lithgow,Blythe Danner,Derek Cecil,Drama Romance,the tomorrow man
Guy Ritchie,Mena Massoud,Will Smith,Naomi Scott,Adventure Fantasy Romance Family,aladdin
David Yarovesky,Elizabeth Banks,David Denman,Jackson A. Dunn,Horror Thriller Science Fiction,brightburn
Olivia Wilde,Kaitlyn Dever,Beanie Feldstein,Jessica Williams,Comedy,booksmart
Richard Shepard,Allison Williams,Logan Browning,Steven Weber,Horror Thriller Drama,the perfection
Nahnatchka Khan,Ali Wong,Randall Park,Daniel Dae Kim,Romance Comedy,always be my maybe
Michael Dougherty,Kyle Chandler,Vera Farmiga,Millie Bobby Brown,Science Fiction Action,godzilla: king of the monsters
Dexter Fletcher,Taron Egerton,Jamie Bell,Richard Madden,Music Drama History,rocketman
Tate Taylor,Octavia Spencer,Juliette Lewis,Diana Silvers,Horror Thriller,ma
Simon Kinberg,James McAvoy,Michael Fassbender,Jennifer Lawrence,Science Fiction Action Adventure,dark phoenix
Chris Renaud,Patton Oswalt,Eric Stonestreet,Kevin Hart,Adventure Animation Comedy Family,the secret life of pets 2
Nisha Ganatra,Emma Thompson,Mindy Kaling,Max Casella,Comedy Drama,late night
Joe Talbot,Jimmie Fails,Jonathan Majors,Danny Glover,Drama,the last black man in san francisco
Seth Green,Breckin Meyer,Macaulay Culkin,Brenda Song,Comedy Drama,changeland
F. Gary Gray,Chris Hemsworth,Tessa Thompson,Kumail Nanjiani,Comedy Science Fiction,men in black: international
Tim Story,Samuel L. Jackson,Jessie Usher,Richard Roundtree,Action Crime,shaft
Jim Jarmusch,Bill Murray,Adam Driver,Tilda Swinton,Comedy Horror Fantasy,the dead don't die
Kyle Newacheck,Adam Sandler,Jennifer Aniston,Luke Evans,Comedy,murder mystery
"Jeff Chan, Andrew Rhymer",Maya Erskine,Jack Quaid,Beck Bennett,Romance Comedy Drama,plus one
Miranda Bailey,Jim Gaffigan,Logan Miller,Samantha Mathis,Comedy,being frank
Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Family Adventure Animation Comedy Fantasy Drama,toy story 4
Luc Besson,Sasha Luss,Helen Mirren,Luke Evans,Thriller Action,anna
Lars Klevberg,Aubrey Plaza,Gabriel Bateman,Brian Tyree Henry,Horror,child's play
Gary Dauberman,Mckenna Grace,Madison Iseman,Katie Sarife,Horror Thriller Mystery,annabelle comes home
Danny Boyle,Himesh Patel,Lily James,Ed Sheeran,Music Comedy Romance Fantasy,yesterday
Claire McCarthy,Daisy Ridley,Naomi Watts,Clive Owen,Romance History,ophelia
Martin Owen,Tommy Flanagan,Rhyon Nicole Brown,Jessica Alba,Action Thriller Crime Mystery,killers anonymous
Jon Watts,Tom Holland,Samuel L. Jackson,Zendaya,Action Adventure Science Fiction,spider-man: far from home
John Herzfeld,Sylvester Stallone,Curtis Jackson,Dave Bautista,Action Thriller Crime,escape plan: the extractors
Ari Aster,Florence Pugh,Jack Reynor,William Jackson Harper,Horror Drama Mystery,midsommar
Michael Dowse,Kumail Nanjiani,Dave Bautista,Iko Uwais,Action Comedy Thriller Crime,stuber
Alexandre Aja,Kaya Scodelario,Barry Pepper,unknown,Thriller Horror,crawl
Joe Lynch,Frank Grillo,Anthony Mackie,Marcia Gay Harden,Action Thriller,point blank
Lulu Wang,Awkwafina,Tzi Ma,Diana Lin,Comedy Drama,the farewell
Pollyanna Mcintosh,Pollyanna McIntosh,Cooper Andrews,Nora-Jane Noone,Horror Mystery,darlin'
Jon Favreau,Donald Glover,Seth Rogen,Chiwetel Ejiofor,Family Animation Drama,the lion king
Quentin Tarantino,Leonardo DiCaprio,Brad Pitt,Margot Robbie,Comedy Drama Thriller,once upon a time in hollywood
Guy Nattiv,Jamie Bell,Danielle Macdonald,Daniel Henshall,Thriller Action Drama,skin
Gideon Raff,Chris Evans,Haley Bennett,Michael K. Williams,Drama Thriller History,the red sea diving resort
David Leitch,Dwayne Johnson,Jason Statham,Idris Elba,Action Adventure Comedy,fast & furious presents: hobbs & shaw
Shawn Ku,Nicolas Cage,Benjamin Bratt,unknown,Action Thriller Drama,a score to settle
Yuval Adler,Diane Kruger,Martin Freeman,Cas Anvar,Drama Thriller,the operative
James Bobin,Isabela Moner,Eugenio Derbez,Michael Peña,Adventure Comedy Family,dora and the lost city of gold
Andrea Berloff,Melissa McCarthy,Tiffany Haddish,Elisabeth Moss,Action Crime Drama,the kitchen
Simon Curtis,Milo Ventimiglia,Amanda Seyfried,Kathy Baker,Comedy Drama Romance,the art of racing in the rain
André Øvredal,Zoe Colletti,Michael Garza,Gabriel Rush,Horror Thriller,scary stories to tell in the dark
"Tyler Nilson, Michael Schwartz",Shia LaBeouf,Dakota Johnson,John Hawkes,Adventure Drama Comedy,the peanut butter falcon
Bart Freundlich,Michelle Williams,Julianne Moore,Billy Crudup,Drama,after the wedding
Casey Affleck,Casey Affleck,Anna Pniowsky,Tom Bower,Science Fiction Drama,light of my life
Thurop Van Orman,Jason Sudeikis,Josh Gad,Leslie Jones,Animation Comedy Adventure Family,the angry birds movie 2
Gene Stupnitsky,Jacob Tremblay,Brady Noon,Keith L. Williams,Comedy,good boys
Gurinder Chadha,Viveik Kalra,Kulvinder Ghir,Meera Ganatra,Drama Comedy,blinded by the light
Richard Linklater,Cate Blanchett,Billy Crudup,Emma Nelson,Drama Comedy Mystery,"where'd you go, bernadette"
Johannes Roberts,John Corbett,Nia Long,Sophie Nelisse,Horror,47 meters down: uncaged
William McGregor,Maxine Peake,Eleanor Worthington Cox,Richard Harrington,Drama Mystery Horror History,gwen
"Matt Bettinelli-Olpin, Tyler Gillett",Samara Weaving,Adam Brody,Mark O'Brien,Horror Thriller Comedy,ready or not
Ric Roman Waugh,Gerard Butler,Morgan Freeman,Jada Pinkett Smith,Action Thriller,angel has fallen
Paul Downs Colaizzo,Jillian Bell,Michaela Watkins,Utkarsh Ambudkar,Comedy Drama,brittany runs a marathon
Alex Kendrick,Alex Kendrick,Priscilla Shirer,Ben Davies,Drama,overcomer
David M. Rosenthal,Michael Ealy,Jesse Williams,Nicole Beharie,Drama Mystery Horror,jacob's ladder
Mike Gan,Tilda Cobham-Hervey,Suki Waterhouse,Harry Shum Jr.,Thriller,burn
Gavin Hood,Keira Knightley,Matt Smith,Matthew Goode,Drama Thriller History,official secrets
Jacob Aaron Estes,Jacob Aaron Estes,Drew Daywalt (story); David Oyelowo,Storm Reid,Science Fiction Thriller Mystery Crime,don't let go
Micah Gallo,Bruce Davison,Denise Crosby,Elizabeth Roberts,Horror Thriller,itsy bitsy
Fred Durst,John Travolta,Devon Sawa,Ana Golja,Thriller Crime Mystery,the fanatic
Andy Muschietti,James McAvoy,Jessica Chastain,Bill Hader,Horror Fantasy,it chapter two
Chelsea Stardust,Hayley Griffith,Ruby Modine,Arden Myrin,Horror Comedy,satanic panic
Ali LeRoi,Steven Silver,Nicola Peltz,unknown,Drama Thriller,the obituary of tunde johnson
John Crowley,Ansel Elgort,Oakes Fegley,Aneurin Barnard,Drama,the goldfinch
Lorene Scafaria,Constance Wu,Jennifer Lopez,Julia Stiles,Drama Comedy Crime,hustlers
Michael Tyburski,Rashida Jones,Peter Sarsgaard,Tony Revolori,Drama,the sound of silence
Alejandro Landes,Julianne Nicholson,Moisés Arias,unknown,Drama Thriller Adventure,monos
Nzingha Stewart,Ava Michelle,Griffin Gluck,Luke Eisner,Comedy Drama Romance,tall girl
Lars Klevberg,Kathryn Prescott,Grace Zabriskie,Samantha Logan,Horror Thriller Mystery,polaroid
James Gray,Brad Pitt,Tommy Lee Jones,Ruth Negga,Science Fiction Drama,ad astra
Michael Engler,Hugh Bonneville,Jim Carter,Michelle Dockery,Drama Romance History,downton abbey
Adrian Grunberg,Sylvester Stallone,Adriana Barraza,Paz Vega,Action Thriller Drama,rambo: last blood
Henry Jacobson,Seann William Scott,Mariela Garriga,Dale Dickey,Action Horror,bloodline
Jason Cabell,Nicolas Cage,Laurence Fishburne,unknown,Action,running with the devil
Brad Anderson,Sam Worthington,Lily Rabe,Stephen Tobolowsky,Thriller,fractured
Jill Culton,Todd Wilderman (co-director); Chloe Bennet,Albert Tsai,Tenzing Norgay Trainor,Family Animation Adventure Comedy,abominable
Steven Soderbergh,Meryl Streep,Gary Oldman,Antonio Banderas,Drama Crime Comedy,the laundromat
Rupert Goold,Renée Zellweger,Jessie Buckley,Finn Wittrock,Drama History Music,judy
Franck Khalfoun,Logan Miller,Kristine Froseth,unknown,Action Crime,prey
Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Crime Thriller Drama,joker
Noah Hawley,Natalie Portman,Jon Hamm,Zazie Beetz,Drama Science Fiction Thriller,lucy in the sky
Craig Brewer,Eddie Murphy,Keegan-Michael Key,Mike Epps,Drama Comedy History,dolemite is my name
Vincenzo Natali,Patrick Wilson,Harrison Gilbertson,Rachel Wilson,Horror Drama Thriller,in the tall grass
Kevin McMullin,Keean Johnson,Jaeden Martell,Alex Neustaedter,Drama Thriller,low tide
Michael Beach Nichols,Michael Beach Nichols (director); Michael Beach Nichols,Christopher K. Walker (screenplay),unknown,Documentary,wrinkles the clown
Abe Forsythe,Lupita Nyong'o,Alexander England,Josh Gad,Adventure Fantasy Comedy Family,little monsters
Ang Lee,Will Smith,Mary Elizabeth Winstead,Clive Owen,Science Fiction Action Thriller,gemini man
"Conrad Vernon, Greg Tiernan",Oscar Isaac,Charlize Theron,Chloë Grace Moretz,Family Animation Comedy Fantasy,the addams family
David Michôd,Timothée Chalamet,Joel Edgerton,Sean Harris,Drama History War,the king
"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña",Adam Devine,Rose Byrne,Alexandra Shipp,Comedy,jexi
Vince Gilligan,Aaron Paul,Jesse Plemons,Scott MacArthur,Crime Drama Thriller Action,el camino: a breaking bad movie
Joachim Rønning,Angelina Jolie,Elle Fanning,Michelle Pfeiffer,Family Fantasy Adventure,maleficent: mistress of evil
Ruben Fleischer,Woody Harrelson,Jesse Eisenberg,Emma Stone,Horror Action Comedy,zombieland: double tap
Taika Waititi,Roman Griffin Davis,Thomasin McKenzie,Scarlett Johansson,Comedy War Drama,jojo rabbit
Robert Eggers,Willem Dafoe,Robert Pattinson,unknown,Drama Fantasy Thriller Horror,the lighthouse
Babak Anvari,Armie Hammer,Dakota Johnson,Zazie Beetz,Action Crime Thriller,wounds
Deon Taylor,Naomie Harris,Tyrese Gibson,Frank Grillo,Action Thriller,black and blue
Alfonso Gomez-Rejon,Benedict Cumberbatch,Michael Shannon,Katherine Waterston,Drama History,the current war
Justin Dec,Elizabeth Lail,Peter Facinelli,Anne Winters,Horror Thriller,countdown
Dan Krauss,Dan Krauss (director); Nat Wolff,Alexander Skarsgård,unknown,Drama Action Thriller,the kill team
"Chris Lofing, Travis Cluff",Chris Milligan,Ema Horvath,Brittany Falardeau,Horror Thriller,the gallows act ii
Tim Miller,Linda Hamilton,Arnold Schwarzenegger,Mackenzie Davis,Action Adventure Science Fiction,terminator: dark fate
Edward Norton,Edward Norton,Bruce Willis,Gugu Mbatha-Raw,Drama Thriller,motherless brooklyn
Martin Scorsese,Robert De Niro,Al Pacino,Joe Pesci,Crime Drama History,the irishman
Kasi Lemmons,Cynthia Erivo,Leslie Odom Jr.,Joe Alwyn,Drama History,harriet
Aaron Woodley,Jeremy Renner,James Franco,Heidi Klum,Animation Adventure Comedy,arctic dogs
Noah Baumbach,Scarlett Johansson,Adam Driver,Laura Dern,Drama,marriage story
Mike Flanagan,Ewan McGregor,Rebecca Ferguson,Kyliegh Curran,Horror Drama Fantasy Thriller,doctor sleep
Paul Feig,Emilia Clarke,Henry Golding,Michelle Yeoh,Comedy Romance Drama,last christmas
Andy Fickman,John Cena,Keegan-Michael Key,John Leguizamo,Comedy Family,playing with fire
Luke Snellin,Isabela Merced,Shameik Moore,Kiernan Shipka,Romance Comedy,let it snow
Roland Emmerich,Ed Skrein,Patrick Wilson,Luke Evans,War History Action Drama,midway
Sergio Pablos,J. K. Simmons,Jason Schwartzman,Rashida Jones,Animation Family Adventure Comedy,klaus
Alma Har'el,Shia LaBeouf,Lucas Hedges,Noah Jupe,Drama,honey boy
Charlie Bean,Tessa Thompson,Justin Theroux,Kiersey Clemons,Family Animation Romance,lady and the tramp
Marc Lawrence,Anna Kendrick,Bill Hader,Kingsley Ben-Adir,Family Comedy Fantasy,noelle
James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Drama Action History,ford v ferrari
Elizabeth Banks,Kristen Stewart,Naomi Scott,Ella Balinska,Action Adventure Comedy,charlie's angels
Bill Condon,Ian McKellen,Helen Mirren,Russell Tovey,Drama Mystery Crime,the good liar
Scott Z. Burns,Adam Driver,Annette Bening,Ted Levine,Thriller Drama,the report
Trey Edward Shults,Kelvin Harrison Jr.,Lucas Hedges,Taylor Russell,Romance Drama,waves
"Chris Buck, Jennifer Lee",Idina Menzel,Kristen Bell,Jonathan Groff,Family Animation Adventure Comedy Fantasy Music,frozen ii
Marielle Heller,Tom Hanks,Matthew Rhys,Susan Kelechi Watson,Drama,a beautiful day in the neighborhood
Brian Kirk,Chadwick Boseman,Sienna Miller,Stephan James,Crime Action Drama,21 bridges
Todd Haynes,Mark Ruffalo,Anne Hathaway,Tim Robbins,Drama Thriller History,dark waters
Rian Johnson,Daniel Craig,Chris Evans,Ana de Armas,Comedy Crime Drama Mystery,knives out
Melina Matsoukas,Daniel Kaluuya,Jodie Turner-Smith,Bokeem Woodbine,Drama Romance Crime,queen & slim
Fernando Meirelles,Anthony Hopkins,Jonathan Pryce,unknown,Drama Comedy History,the two popes
Lino DiSalvo,Anya Taylor-Joy,Daniel Radcliffe,Gabriel Bateman,Family Animation Comedy Adventure,playmobil: the movie
Tom Harper,Felicity Jones,Eddie Redmayne,Himesh Patel,Adventure Drama Romance,the aeronauts
Sam Taylor-Johnson,Aaron Taylor-Johnson,Billy Bob Thornton,Odessa Young,Drama,a million little pieces
Adam Egypt Mortimer,Miles Robbins,Patrick Schwarzenegger,Sasha Lane,Fantasy Horror Mystery Thriller,daniel isn't real
Jake Kasdan,Dwayne Johnson,Jack Black,Kevin Hart,Adventure Comedy Fantasy,jumanji: the next level
Clint Eastwood,Paul Walter Hauser,Sam Rockwell,Kathy Bates,Drama History Crime,richard jewell
